,,Sri Dharani Wines
,,Closing Stock, (ALL PACKS)
,,As on: 03/04/2026
Sl.,Item,Brand,Pack,Code,BPC,MRP,Godown,Shop,BarCode
194,BRANDY,GOLDEN TOUCH BRANDY,90,29.7,96,74.00,0.000,0.068,""
195,BRANDY,GOOD MAN PREMIUM BRANDY,750,311.1,12,983.00,0.000,0.000,""
196,BRANDY,GOOD MAN PREMIUM BRANDY,180,311.3,48,243.00,0.000,0.000,""
197,BRANDY,GRAND MARQUIS BRANDY,750,731.1,12,480.00,0.000,0.000,""
198,BRANDY,GRAPE LEAF BRANDY,500,320.5,18,190.00,0.000,0.000,""
199,BRANDY,GRAPE LEAF BRANDY,180,320.1,48,0.00,0.000,0.000,""
200,BRANDY,GREEN CHANNEL BRANDY,180,698.3,48,78.00,0.000,0.000,""
201,BRANDY,GREENSTONE IND PRE BRANDY,750,754.1,12,384.00,0.000,0.000,""
202,BRANDY,GREENWICH FRENCH PREM BDY,750,572.1,12,840.00,0.000,0.000,""
203,BRANDY,HENNESSY VS COGNAC BRANDY,700,309.1,12,6801.00,0.000,0.000,""
204,BRANDY,HENNESSY VSOP COGNAC,700,406.1,12,7672.00,0.000,0.000,""
205,BRANDY,HENNESSY XO COGNAC,700,407.1,12,21126.00,0.000,0.000,""
206,BRANDY,HOBSON FRENCH BRANDY,750,76.1,12,1680.00,0.000,0.011,"8908001853002"
207,BRANDY,HOBSON FRENCH BRANDY,180,76.3,48,428.00,0.000,0.021,"8908001853019"
208,BRANDY,HOBSON FRENCH BRANDY,60,76.6,150,138.00,0.000,0.005,"8908001853545"
209,BRANDY,I MAX CLASSIC BRANDY,750,594.1,12,448.00,0.000,0.000,""
210,BRANDY,IFBI'S DOUBLE SHIP XO BDY,700,293.1,12,1680.00,0.000,0.006,"8904011615128"
211,BRANDY,IMPERIAL VS RES INDIAN BY,750,150.1,12,440.00,0.000,0.000,""
212,BRANDY,IMPERIAL VS RES INDIAN BY,180,150.3,48,98.00,0.000,0.000,""
213,BRANDY,IMPERIAL VS RES INDIAN BY,90,150.7,96,48.00,0.000,0.000,""
214,BRANDY,JAMES CARTER XO BRANDY,750,260.1,12,576.00,0.000,0.000,""
215,BRANDY,JAMES CARTER XO BRANDY,180,260.3,48,144.0,0.000,0.000,""
216,BRANDY,JEFFRIE'S GRAPE BRANDY,750,146.1,12,312.00,3.000,2.000,"8906018970118"
217,BRANDY,JEFFRIE'S GRAPE BRANDY,500,146.5,18,208.00,0.000,0.011,"8906018970149"
218,BRANDY,JEFFRIE'S GRAPE BRANDY,375,146.2,24,156.00,1.000,1.007,""
219,BRANDY,JEFFRIE'S GRAPE BRANDY,180,146.3,48,78.00,4.000,0.034,"8906018970132"
220,BRANDY,JEFFRIE'S GRAPE BRANDY,90,146.7,96,39.00,24.000,0.082,""
221,BRANDY,JEFFRIES GOLD VSOP BRANDY,750,239.1,12,432.00,1.000,0.004,"8906018973027"
222,BRANDY,JEFFRIES GOLD VSOP BRANDY,500,29.5,18,288.00,0.000,1.007,""
223,BRANDY,JEFFRIES GOLD VSOP BRANDY,375,239.2,24,216.00,0.000,0.016,"8906018973041"
224,BRANDY,JEFFRIES GOLD VSOP BRANDY,180,239.3,48,108.00,1.000,1.017,"8906018973058"
225,BRANDY,JEFFRIES GOLD VSOP BRANDY,90,239.7,96,54.00,1.000,1.001,""
226,BRANDY,JOY VSOP GRAPE BRANDY,1000,226.4,9,376.00,0.000,0.000,""
227,BRANDY,JOY VSOP GRAPE BRANDY,750,226.1,12,0.00,0.000,0.000,""
228,BRANDY,JOY VSOP GRAPE BRANDY,500,226.5,18,188.00,0.000,0.000,""
229,BRANDY,JOY VSOP GRAPE BRANDY,375,226.2,24,140.00,0.000,0.000,""
230,BRANDY,KYRON PREMIUM BRANDY,750,54.1,12,918.00,0.000,0.010,"8901544019829"
231,BRANDY,KYRON PREMIUM BRANDY,375,54.2,24,460.00,0.010,0.002,"8901544019836"
232,BRANDY,KYRON PREMIUM BRANDY,180,54.3,48,230.00,0.000,0.009,"8901544019843"
233,BRANDY,KYRON PREMIUM BRANDY,90,54.7,96,116.00,0.000,0.000,""
234,BRANDY,LA MARTINE VSOP BRANDY,750,418.1,12,586.00,0.000,0.000,""
235,BRANDY,LE GRAND DAUPHIN COGNAC,500,974.5,18,3842.00,0.000,0.000,"745604325356"
236,BRANDY,LEGEND RARE BRANDY,90,742.7,96,50.00,0.000,0.000,""
237,BRANDY,LIONSGATE VSOP BRANDY,750,229.1,12,0.00,0.000,0.003,""
238,BRANDY,LOUIS VERNANT XO BRANDY,750,640.1,12,880.00,0.000,0.000,"8906111450425"
239,BRANDY,M.H FLANDY LEMON WHITE BY,750,288.1,12,730.00,0.000,0.000,"8902178014150"
240,BRANDY,M.H FLANDY LEMON WHITE BY,180,288.3,48,180.00,0.000,0.014,""
241,BRANDY,M.H FLANDY LEMON WHITE BY,90,288.4,96,90.00,0.000,0.000,""
242,BRANDY,M.H FRENCH CHERRY BRANDY,180,870.3,48,150.00,0.000,0.000,"8902178012927"
243,BRANDY,M.H FRENCH ORANGE BRANDY,750,871.1,12,730.00,0.000,0.008,"8902178012804"
244,BRANDY,M.H FRENCH ORANGE BRANDY,375,871.2,24,365.00,0.000,0.003,"8902178012811"
245,BRANDY,M.H FRENCH ORANGE BRANDY,180,871.3,48,180.00,0.000,0.026,"8902178012828"
246,BRANDY,M.H FRENCH ORANGE BRANDY,90,871.7,96,90.00,0.000,0.072,"8902178012835"
247,BRANDY,MANSION HOUSE BRANDY,2000,69.8,6,1427.00,1.000,0.004,"8902178013368"
248,BRANDY,MANSION HOUSE BRANDY,1000,69.4,9,797.00,3.000,0.005,"8902178005042"
249,BRANDY,MANSION HOUSE BRANDY,750,69.1,12,596.00,4.000,0.004,"8902178005165"
250,BRANDY,MANSION HOUSE BRANDY,500,69.5,18,399.00,1.000,0.009,"8902178005813"
251,BRANDY,MANSION HOUSE BRANDY,375,69.2,24,299.00,2.000,0.012,"8902178005172"
252,BRANDY,MANSION HOUSE BRANDY,180,69.3,48,147.00,12.000,0.030,"8902178005189"
253,BRANDY,MANSION HOUSE BRANDY,90,69.7,96,74.00,22.000,2.004,"8902178006018"
254,BRANDY,MANSION HOUSE CHAMBER BDY,750,435.1,12,720.00,0.000,0.000,""
255,BRANDY,MANSION HOUSE CHAMBER BDY,375,435.2,24,360.00,0.000,0.000,""
256,BRANDY,MANSION HOUSE CHAMBER BDY,180,435.3,48,180.00,0.000,0.000,"8902178013399"
257,BRANDY,MARBLEZ XO BRANDY,750,92.1,12,756.00,0.000,0.011,"8904011615029"
258,BRANDY,MARBLEZ XO BRANDY,180,92.2,48,178.00,0.000,0.021,"8904011615050"
259,BRANDY,MARBLEZ XO BRANDY,60,92.6,150,75.00,0.000,0.066,"8904011615074"
260,BRANDY,MARIE ANT DAU ARM BRANDY,1000,977.1,9,3936.00,0.000,0.000,"745604325349"
261,BRANDY,MARTELL VS COGNAC,700,193.1,6,4600.00,0.000,0.000,""
262,BRANDY,MARTELL VSOP COGNAC,700,194.1,12,6000.00,0.000,0.000,"3219820005899"
263,BRANDY,MAURICE BLACK FRENCH BDY,750,213.1,12,1240.00,0.000,0.000,"8906141251474"
264,BRANDY,MAURICE BLACK FRENCH BDY,60,213.6,150,100.00,0.000,0.000,"8906141251481"
265,BRANDY,MAURICE GREEN FRENCH BDY,750,432.1,12,900.00,0.000,0.000,"8939124227388"
266,BRANDY,MCDOWELL VSOP DELUXE BDY,2000,70.8,6,1230.00,0.000,0.005,"8906111453297"
267,BRANDY,MCDOWELL VSOP DELUXE BDY,1000,70.4,9,620.00,0.000,1.003,"8906111451699"
268,BRANDY,MCDOWELL VSOP DELUXE BDY,750,70.1,12,465.00,0.000,1.000,"8906111451682"
269,BRANDY,MCDOWELL VSOP DELUXE BDY,500,70.5,18,320.00,4.000,1.003,"8906111451675"
270,BRANDY,MCDOWELL VSOP DELUXE BDY,375,70.2,24,233.00,2.000,0.016,"8906111451668"
271,BRANDY,MCDOWELL VSOP DELUXE BDY,180,70.3,48,129.00,4.000,0.015,"8906111451651"
272,BRANDY,MCDOWELL VSOP DELUXE BDY,90,70.7,96,68.00,2.000,0.069,"8906111451644"
273,BRANDY,MCDOWELL'S CAESAR BRANDY,750,61.1,12,580.00,0.000,0.000,"8906111451255"
274,BRANDY,MCDOWELL'S CAESAR BRANDY,90,61.7,96,54.00,0.000,0.000,""
